duration liters month hour day max_flow fixture num_fixture av_flow_rate sec_from_midnight
39 1524 4 15 5 42 washbasin 4 39.0769230769231 48380
22 1519 7 9 2 85 washbasin 4 69.0454545454545 28398
27 1518 3 14 6 63 washbasin 4 56.2222222222222 49001
21 1506 5 8 2 76 washbasin 4 71.7142857142857 21831
72 1494 7 7 3 24 washbasin 4 20.75 19757
25 1494 7 19 6 65 washbasin 4 59.76 61469
79 1492 3 8 2 22 washbasin 4 18.8860759493671 25531
71 1492 8 9 4 22 washbasin 4 21.0140845070423 28501
28 1489 10 18 5 56 washbasin 4 53.1785714285714 59014
19 1484 10 16 5 81 washbasin 4 78.1052631578947 52646
31 1479 5 12 2 49 washbasin 4 47.7096774193548 36679
34 1478 4 8 1 47 washbasin 4 43.4705882352941 23795
39 1475 2 8 0 40 washbasin 4 37.8205128205128 26470
23 1471 2 9 4 69 washbasin 4 63.9565217391304 29672
21 1462 2 21 3 76 washbasin 4 69.6190476190476 72226
41 1459 3 10 6 40 washbasin 4 35.5853658536585 33834
16 1458 3 11 5 92 washbasin 4 91.125 38846
26 1453 2 16 6 60 washbasin 4 55.8846153846154 56284
27 1451 6 8 0 58 washbasin 4 53.7407407407407 23357
38 1450 6 17 6 49 washbasin 4 38.1578947368421 56022
41 1449 7 9 2 38 washbasin 4 35.3414634146341 25713
38 1443 3 13 4 42 washbasin 4 37.9736842105263 45962
33 1442 3 15 5 47 washbasin 4 43.6969696969697 53943
26 1435 2 19 2 60 washbasin 4 55.1923076923077 66764
29 1417 6 8 0 54 washbasin 4 48.8620689655172 24825
50 1413 3 15 1 33 washbasin 4 28.26 52683
39 1405 3 10 6 40 washbasin 4 36.025641025641 34175
16 1405 10 16 6 92 washbasin 4 87.8125 52116
29 1401 2 8 2 51 washbasin 4 48.3103448275862 26067
23 1398 2 21 5 63 washbasin 4 60.7826086956522 75332
70 1398 8 18 1 31 washbasin 4 19.9714285714286 58624
20 1393 7 9 0 78 washbasin 4 69.65 25990
37 1384 3 14 4 40 washbasin 4 37.4054054054054 46813
31 1383 5 8 2 49 washbasin 4 44.6129032258065 22235
37 1381 2 14 5 40 washbasin 4 37.3243243243243 49421
28 1381 3 12 5 51 washbasin 4 49.3214285714286 40472
35 1374 3 7 3 42 washbasin 4 39.2571428571429 25175
25 1374 5 16 3 58 washbasin 4 54.96 53855
31 1373 6 15 0 49 washbasin 4 44.2903225806452 50102
22 1372 2 23 6 67 washbasin 4 62.3636363636364 79495
37 1372 10 17 5 38 washbasin 4 37.0810810810811 54856
24 1371 2 9 3 60 washbasin 4 57.125 29587
40 1371 5 8 2 36 washbasin 4 34.275 23680
28 1366 7 18 5 51 washbasin 4 48.7857142857143 59725
95 1359 7 20 3 22 washbasin 4 14.3052631578947 66838
41 1354 7 8 1 36 washbasin 4 33.0243902439024 24162
38 1349 3 9 6 38 washbasin 4 35.5 30008
15 1349 6 20 3 94 washbasin 4 89.9333333333333 68390
46 1340 5 10 3 31 washbasin 4 29.1304347826087 32286
32 1338 7 9 5 45 washbasin 4 41.8125 26592
28 1333 6 18 5 83 washbasin 4 47.6071428571429 58777
45 1332 6 18 5 31 washbasin 4 29.6 60087
24 1329 2 15 1 58 washbasin 4 55.375 52162
36 1326 9 12 6 40 washbasin 4 36.8333333333333 36504
25 1319 4 10 6 60 washbasin 4 52.76 30235
38 1319 6 20 0 38 washbasin 4 34.7105263157895 66468
25 1317 10 21 3 54 washbasin 4 52.68 69724
36 1315 4 19 3 40 washbasin 4 36.5277777777778 62080
69 1313 6 18 6 22 washbasin 4 19.0289855072464 60590
